3470	Bookworm Adventures Deluxe	http://www.metacritic.com/game/pc/bookworm-adventures-deluxe
3472	Bookworm Adventures Deluxe Demo	http://www.metacritic.com/game/pc/bookworm-adventures-deluxe
3540	Peggle Nights	http://www.metacritic.com/game/pc/peggle-nights
3560	Bejeweled Twist	http://www.metacritic.com/game/pc/bejeweled-twist
3562	Bejeweled Twist Demo	http://www.metacritic.com/game/pc/bejeweled-twist
3590	Plants vs. Zombies: Game of the Year	http://www.metacritic.com/game/pc/plants-vs-zombies
3592	Plants vs. Zombies Demo	http://www.metacritic.com/game/pc/plants-vs-zombies
3620	Zuma's Revenge	http://www.metacritic.com/game/pc/zumas-revenge!
3622	Zuma's Revenge Demo	http://www.metacritic.com/game/pc/zumas-revenge!
3630	BookWorm Adventures Volume 2	http://www.metacritic.com/game/pc/bookworm-adventures-volume-2
3632	Bookworm™ Adventures Volume 2 Demo	http://www.metacritic.com/game/pc/bookworm-adventures-volume-2
3700	Sniper Elite	http://www.metacritic.com/game/pc/sniper-elite
3710	Judge Dredd: Dredd vs Death	http://www.metacritic.com/game/pc/judge-dredd-dredd-vs-death
3720	Evil Genius	http://www.metacritic.com/game/pc/evil-genius
3800	Advent Rising	http://www.metacritic.com/game/pc/advent-rising
3810	BloodRayne	http://www.metacritic.com/game/pc/bloodrayne
3820	BloodRayne 2	http://www.metacritic.com/game/pc/bloodrayne-2
3830	Psychonauts	http://www.metacritic.com/game/pc/psychonauts
3850	BloodRayne 2 Demo	http://www.metacritic.com/game/pc/bloodrayne-2
3900	Sid Meier's Civilization IV	http://www.metacritic.com/game/pc/sid-meiers-civilization-iv
3910	Sid Meier's Civilization III: Complete	http://www.metacritic.com/game/pc/sid-meiers-civilization-iii
3920	Sid Meier's Pirates!	http://www.metacritic.com/game/pc/sid-meiers-pirates!
3960	Shattered Union	http://www.metacritic.com/game/pc/shattered-union
3980	CivCity: Rome	http://www.metacritic.com/game/pc/civcity-rome
3990	Sid Meier's Civilization IV: Warlords	http://www.metacritic.com/game/pc/sid-meiers-civilization-iv-warlords
4260	RACE 07 Demo	http://www.metacritic.com/game/pc/race-07-official-wtcc-game
4300	RoboBlitz	http://www.metacritic.com/game/pc/roboblitz
4310	RoboBlitz Demo	http://www.metacritic.com/game/pc/roboblitz
4320	Star Trek: D-A-C	http://www.metacritic.com/game/pc/star-trek-d-a-c
4330	Star Trek: D·A·C - Demo	http://www.metacritic.com/game/pc/star-trek-d-a-c
4420	Silverfall	http://www.metacritic.com/game/pc/silverfall
4440	Silverfall Demo	http://www.metacritic.com/game/pc/silverfall
4460	City Life 2008	http://www.metacritic.com/game/pc/city-life-2008-edition
4540	Titan Quest	http://www.metacritic.com/game/pc/titan-quest
4550	Titan Quest: Immortal Throne	http://www.metacritic.com/game/pc/titan-quest-immortal-throne
4590	Titan Quest Demo	http://www.metacritic.com/game/pc/titan-quest
4700	Medieval II: Total War	http://www.metacritic.com/game/pc/medieval-ii-total-war
4710	Medieval II: Total War Demo	http://www.metacritic.com/game/pc/medieval-ii-total-war
4760	Rome: Total War	http://www.metacritic.com/game/pc/rome-total-war
4770	Rome: Total War - Alexander	http://www.metacritic.com/game/pc/rome-total-war-alexander
4780	Medieval II: Total War Kingdoms	http://www.metacritic.com/game/pc/medieval-ii-total-war-kingdoms
4800	Heroes of Annihilated Empires	http://www.metacritic.com/game/pc/heroes-of-annihilated-empires
4810	Heroes of Annihilated Empires Demo	http://www.metacritic.com/game/pc/heroes-of-annihilated-empires
4820	Heroes of Annihilated Empires Multiplayer Demo	http://www.metacritic.com/game/pc/heroes-of-annihilated-empires
4850	Cossacks: Back to War	http://www.metacritic.com/game/pc/cossacks-back-to-war
4870	Cossacks: Art of War	http://www.metacritic.com/game/pc/cossacks-the-art-of-war
4880	Cossacks: European Wars	http://www.metacritic.com/game/pc/cossacks-european-wars
4890	Cossacks II: Battle for Europe	http://www.metacritic.com/game/pc/cossacks-ii-battle-for-europe
4920	Natural Selection 2	http://www.metacritic.com/game/pc/natural-selection-2
